,Country,Region,Population,Average Government Expenditure as % of GDP,Average percentage change in GDP per capita USD,start_year,end_year
155,Chile,Americas,2237535.0,7.772568780064279,-0.020942408376962707,1872,1877
156,France,Europe,38562323.0,13.528461264667946,0.47101449275362306,1872,1877
157,India,Asia,253742849.0,6.968352677117413,-1.0812949044045683,1872,1877
158,Italy,Europe,28851509.0,10.039239328643442,0.6556112610875431,1872,1877
159,Spain,Europe,16659345.0,12.20297642810464,3.1680151271176626,1872,1877
160,Sweden,Europe,4449667.0,6.360853323044791,1.044710048694113,1872,1877
161,United Kingdom,Europe,33602176.0,6.596606005953987,0.5338880221875542,1872,1877
162,United States,Americas,46631704.0,3.105236662239428,0.4275032877702989,1872,1877
163,Argentina,Americas,2306657.0,8.260418351606779,0.4089372400546276,1873,1878
164,Belgium,Europe,5440877.0,5.380142067986317,0.8631813125695231,1873,1878
165,Canada,Americas,4213379.0,6.35137645132646,-2.227520435967303,1873,1878
166,Chile,Americas,2274613.0,7.756147700410364,-0.7015810276679835,1873,1878
167,France,Europe,38611451.0,13.528461264667946,1.7558746736292408,1873,1878
168,India,Asia,254079702.0,7.076392107566483,-1.071009456486598,1873,1878
169,Italy,Europe,29010741.0,10.164284965737272,1.2708252615265403,1873,1878
170,Spain,Europe,16725809.0,11.439607006864032,0.5620142526124683,1873,1878
171,Sweden,Europe,4491594.0,6.449281965156277,0.061295971978982955,1873,1878
172,United Kingdom,Europe,33931221.0,6.513942711843129,0.12666894899007186,1873,1878
173,United States,Americas,47678418.0,2.9273480762135695,0.32160764932315455,1873,1878
174,Argentina,Americas,2380335.0,8.20966514342191,0.417385572333111,1874,1879
175,Belgium,Europe,5487623.0,5.534534273358439,0.3776861298024725,1874,1879
176,Canada,Americas,4271701.0,6.495749428287453,-0.9610829103214891,1874,1879
177,Chile,Americas,2311789.0,7.79088984514469,2.7123848515864912,1874,1879
178,France,Europe,38667543.0,13.502016711657093,-1.8906340895869689,1874,1879
179,India,Asia,254760858.0,7.164000882204706,-0.8891116268558052,1874,1879
180,Italy,Europe,29178818.0,10.323495193678532,0.2799263351749559,1874,1879
181,Spain,Europe,16796632.0,10.70854645155143,0.9091256224500688,1874,1879
182,Sweden,Europe,4529401.0,6.532770261256669,0.3881856540084394,1874,1879
183,United Kingdom,Europe,34250722.0,6.437352696950931,-0.29962546816479474,1874,1879
184,United States,Americas,48749140.0,2.753503861303795,3.024340867901114,1874,1879
185,Argentina,Americas,2456365.0,8.517990615023018,-0.37605525709900167,1875,1880
186,Austria,Europe,4943751.0,14.2153,,1875,1880
187,Belgium,Europe,5536082.0,5.885193838352056,1.4298245614035077,1875,1880
188,Brazil,Americas,11834544.0,24.1936,,1875,1880
189,Canada,Americas,4327935.0,6.865936778075754,0.3586497890295348,1875,1880
190,Chile,Americas,2349056.0,7.895563929977976,3.590243902439023,1875,1880
191,Denmark,Europe,2082563.0,9.86905,,1875,1880
192,France,Europe,38730622.0,14.033497114827833,-0.8934124964659307,1875,1880
193,Germany,Europe,44110884.0,11.271455,,1875,1880
194,Greece,Europe,4067664.0,27.32366,,1875,1880
195,India,Asia,255789440.0,7.365410337248117,-0.5293543467377404,1875,1880
196,Italy,Europe,29355842.0,11.214571910675987,0.506050605060504,1875,1880
197,Japan,Asia,36977992.0,1.081405,,1875,1880
198,Netherlands,Europe,4040346.0,12.01584,,1875,1880
199,New Zealand,Oceania,510014.0,12.882,,1875,1880
200,Norway,Europe,1916359.0,0.833333,,1875,1880
201,Portugal,Europe,4613680.0,9.78885,,1875,1880
202,Russia,Europe,54112425.0,16.64017,,1875,1880
203,Spain,Europe,16871852.0,10.501919209994622,2.1393001218636387,1875,1880
204,Sweden,Europe,4563030.0,6.733022177074605,0.6386701662292227,1875,1880
205,United Kingdom,Europe,34560483.0,6.742949830246793,0.15798319327731125,1875,1880
206,United States,Americas,49844419.0,2.724749418586869,4.507679813141237,1875,1880
207,Argentina,Americas,2534824.0,8.905242988728276,-0.536193029490617,1876,1881
208,Austria,Europe,4987664.0,15.614265,,1876,1881
209,Belgium,Europe,5586281.0,6.24751723939242,1.3571896137900952,1876,1881
210,Brazil,Americas,12057427.0,28.290325000000003,,1876,1881
211,Canada,Americas,4382020.0,7.017140588255933,4.862385321100917,1876,1881
212,Chile,Americas,2386406.0,8.13585719087717,5.030181086519114,1876,1881
213,Denmark,Europe,2102992.0,8.4089,,1876,1881
214,France,Europe,38800708.0,14.608272824328928,1.6331580575317028,1876,1881
215,Germany,Europe,44555169.0,11.7889325,,1876,1881
216,Greece,Europe,4109855.0,28.564645,,1876,1881
217,India,Asia,257168597.0,7.548807133514297,0.016085876162681423,1876,1881
218,Italy,Europe,29541914.0,12.53976997232774,1.6378662659654397,1876,1881
219,Japan,Asia,37271015.0,1.0882275,,1876,1881
220,Netherlands,Europe,4086642.0,12.322735000000002,,1876,1881
221,New Zealand,Oceania,529338.0,12.95975,,1876,1881
222,Norway,Europe,1928804.0,4.0415665,,1876,1881
223,Portugal,Europe,4649485.0,9.696815,,1876,1881
224,Russia,Europe,54604152.0,17.34037,,1876,1881
225,Spain,Europe,16951508.0,10.939717466257704,1.6345829872788986,1876,1881
226,Sweden,Europe,4592421.0,6.880461197710915,0.10695187165775444,1876,1881
227,United Kingdom,Europe,34860309.0,7.189058835780746,0.7005725833614029,1876,1881
228,United States,Americas,50964818.0,2.705329812875732,5.0203660038927955,1876,1881
229,Argentina,Americas,2615789.0,9.696662301147201,2.04255319148936,1877,1882
230,Austria,Europe,5031834.0,15.258143333333331,,1877,1882
231,Belgium,Europe,5638248.0,6.656585329395166,1.7489667174244072,1877,1882
232,Brazil,Americas,12284523.0,29.81783,,1877,1882
233,Canada,Americas,4433891.0,7.264277828515209,4.424264438794041,1877,1882
234,Chile,Americas,2423833.0,8.711487117926099,8.238993710691824,1877,1882
235,Denmark,Europe,2123627.0,7.923581666666666,,1877,1882
236,Finland,Europe,2105853.0,6.86274,,1877,1882
237,France,Europe,38877824.0,15.117756560833001,1.5162241887905603,1877,1882
238,Germany,Europe,44992270.0,12.396135000000001,,1877,1882
239,Greece,Europe,4152465.0,25.987536666666667,,1877,1882
240,India,Asia,258901501.0,7.7192984704489085,0.7540876948349462,1877,1882
241,Italy,Europe,29737139.0,13.888651174538774,1.7699775952203156,1877,1882
242,Japan,Asia,37580207.0,1.1197806666666665,,1877,1882
243,Netherlands,Europe,4133595.0,12.574376666666666,,1877,1882
244,New Zealand,Oceania,545917.0,12.622266666666667,,1877,1882
245,Norway,Europe,1938985.0,5.020999333333333,,1877,1882
246,Portugal,Europe,4687749.0,9.425913333333334,,1877,1882
247,Russia,Europe,55100347.0,16.483810000000002,,1877,1882
248,Spain,Europe,17035639.0,10.818301091322775,-0.41536144655983653,1877,1882
249,Sweden,Europe,4617513.0,6.914184510426732,-0.1935212452671431,1877,1882
250,United Kingdom,Europe,35149998.0,7.673613141248083,1.1683268613878095,1877,1882
251,United States,Americas,52110912.0,2.6437999933388796,5.723651930559801,1877,1882
252,Argentina,Americas,2699340.0,10.43207618718312,5.757922871324932,1878,1883
253,Austria,Europe,5076261.0,15.12365,,1878,1883
254,Belgium,Europe,5692009.0,7.110051017613216,1.3819577735124744,1878,1883
255,Brazil,Americas,12515913.0,29.7767025,,1878,1883
256,Canada,Americas,4483484.0,7.912606717278158,5.534687619777694,1878,1883
257,Chile,Americas,2461328.0,9.479397017194882,7.475678443420377,1878,1883
258,Denmark,Europe,2144469.0,7.62471375,,1878,1883
259,Finland,Europe,2136348.0,7.05882,,1878,1883
260,France,Europe,38961992.0,15.694328501089124,1.8841884188418856,1878,1883
261,Germany,Europe,45421989.0,12.76729125,,1878,1883
262,Greece,Europe,4195498.0,25.3616375,,1878,1883
263,India,Asia,260991354.0,8.005547184670114,1.5947320245730978,1878,1883
264,Italy,Europe,29941621.0,15.334215716507707,1.4353369763205848,1878,1883
265,Japan,Asia,37905801.0,1.17718625,,1878,1883
266,Netherlands,Europe,4181215.0,12.9062,,1878,1883
267,New Zealand,Oceania,559490.0,12.553425,,1878,1883
268,Norway,Europe,1946870.0,5.344716249999999,,1878,1883
269,Portugal,Europe,4728508.0,9.4437775,,1878,1883
270,Russia,Europe,55601049.0,15.9069575,,1878,1883
271,Spain,Europe,17124285.0,11.010735431689739,0.7047945040569514,1878,1883
272,Sweden,Europe,4638245.0,6.946642784191006,2.0951549541684855,1878,1883
273,United Kingdom,Europe,35429349.0,8.059524535269736,1.3097465555366572,1878,1883
274,United States,Americas,53283291.0,2.6365626605776895,5.232443995645828,1878,1883
275,Argentina,Americas,2785560.0,11.163883185708656,6.1711711711711725,1879,1884
276,Austria,Europe,5121081.0,16.264812,,1879,1884
277,Belgium,Europe,5746284.0,7.7168456235096174,1.2995313165743516,1879,1884
278,Brazil,Americas,12751661.0,31.420136000000003,,1879,1884
279,Canada,Americas,4533631.0,8.419860117877349,5.282616423746891,1879,1884
280,Chile,Americas,2499399.0,10.094905714031128,4.362325371789093,1879,1884
281,Denmark,Europe,2165515.0,7.4156238000000005,,1879,1884
282,Finland,Europe,2167285.0,7.254899999999999,,1879,1884
283,France,Europe,39046339.0,16.318250962809472,3.0709926116286557,1879,1884
284,Germany,Europe,45855801.0,13.047993,,1879,1884
285,Greece,Europe,4238976.0,25.695826,,1879,1884
286,India,Asia,263098048.0,8.113595461371924,2.430332187273505,1879,1884
287,Italy,Europe,30147508.0,17.01836305969312,1.0533962949509634,1879,1884
288,Japan,Asia,38234217.0,1.1884066,,1879,1884
289,Netherlands,Europe,4229384.0,13.034505999999999,,1879,1884
290,New Zealand,Oceania,573401.0,12.64422,,1879,1884
291,Norway,Europe,1954788.0,5.6864252,,1879,1884
292,Portugal,Europe,4769622.0,9.541198,,1879,1884
293,Russia,Europe,56106300.0,15.930038,,1879,1884
294,Spain,Europe,17213392.0,11.349514828128251,2.365008299042155,1879,1884
295,Sweden,Europe,4659071.0,6.997794812389549,0.5049668874172175,1879,1884
296,United Kingdom,Europe,35710919.0,8.52704749997181,1.5001728309713114,1879,1884
297,United States,Americas,54482036.0,2.6298151637175353,2.8250092988216124,1879,1884
298,Argentina,Americas,2874534.0,11.660185,10.535784122017988,1880,1885
299,Austria,Europe,5166297.0,16.213528333333333,1.3095956547978282,1880,1885
300,Belgium,Europe,5801075.0,8.356976666666666,0.47482603356528763,1880,1885
301,Brazil,Americas,12991849.0,31.775356666666667,-0.05671077504725952,1880,1885
302,Canada,Americas,4584338.0,9.408346666666667,2.8255613126079426,1880,1885
303,Chile,Americas,2538055.0,10.311666666666667,1.066997518610422,1880,1885
304,Denmark,Europe,2186768.0,7.360580666666666,0.8573072497123135,1880,1885
305,Finland,Europe,2198670.0,7.6411750000000005,,1880,1885
306,France,Europe,39130866.0,17.018725,0.8227286179343007,1880,1885
307,Germany,Europe,46293746.0,13.339355833333334,2.2558286074354106,1880,1885
308,Greece,Europe,4282905.0,26.300331666666665,5.009861932938855,1880,1885
309,India,Asia,265221721.0,8.247727833333334,2.9203765162565176,1880,1885
310,Italy,Europe,30354809.0,18.405775000000002,1.03719599427754,1880,1885
311,Japan,Asia,38565477.0,1.1356656666666667,2.884960058884336,1880,1885
312,Netherlands,Europe,4278108.0,13.191471666666667,2.0188598371195887,1880,1885
313,New Zealand,Oceania,587658.0,12.760599999999998,-0.8538422903063791,1880,1885
314,Norway,Europe,1962737.0,5.938687166666667,-0.031961646024769585,1880,1885
315,Portugal,Europe,4811093.0,9.616628333333333,2.2119205298013256,1880,1885
316,Russia,Europe,56616141.0,16.20150333333333,1.3129422445089967,1880,1885
317,Spain,Europe,17302962.0,11.856523333333334,-0.21279058075210022,1880,1885
318,Sweden,Europe,4679989.0,7.093633129333333,1.3819415006358637,1880,1885
319,United Kingdom,Europe,35994727.0,9.053345,0.4502251125562795,1880,1885
320,United States,Americas,55707739.0,2.6642111666666666,0.5384296108071807,1880,1885
321,Argentina,Americas,2966350.0,11.932788333333335,9.681227863046047,1881,1886
322,Austria,Europe,5211912.0,16.551883333333333,1.1465340742907282,1881,1886
323,Belgium,Europe,5856389.0,8.873691666666668,0.5394360441356749,1881,1886
324,Brazil,Americas,13236561.0,32.89935166666667,0.393258426966292,1881,1886
325,Canada,Americas,4635612.0,9.492655000000001,0.3444034440344401,1881,1886
326,Chile,Americas,2577306.0,10.901666666666666,1.10128617363344,1881,1886
327,Denmark,Europe,2208230.0,7.066980666666667,1.4022988505747147,1881,1886
328,Finland,Europe,2230510.0,7.745594,,1881,1886
329,France,Europe,39215572.0,17.03237833333333,0.39462396339719596,1881,1886
330,Germany,Europe,46735862.0,14.010631666666667,1.833952912019825,1881,1886
331,Greece,Europe,4327290.0,26.357966666666666,4.62944162436548,1881,1886
332,India,Asia,267362508.0,8.180467499999999,1.8134890517119517,1881,1886
333,Italy,Europe,30563534.0,18.97656,0.8680555555555536,1881,1886
334,Japan,Asia,38899606.0,1.1632773333333333,4.338983676284949,1881,1886
335,Netherlands,Europe,4327393.0,13.641676666666667,1.9727311461440156,1881,1886
336,New Zealand,Oceania,602269.0,13.0524,-0.8631894684219299,1881,1886
337,Norway,Europe,1970719.0,7.035655833333333,0.7298072980729797,1881,1886
338,Portugal,Europe,4852925.0,9.632605,2.6778783958602848,1881,1886
339,Russia,Europe,57130614.0,16.49324,-3.452772411317515,1881,1886
340,Spain,Europe,17392999.0,11.939491666666667,-0.8100355524116498,1881,1886
