,Country,Region,Population,Average Government Expenditure as % of GDP,Annualized percentage change in GDP per capita USD,start_year,end_year
1732,Mexico,Americas,18154022.0,6.908074500000001,0.5842656710410399,1930,1935
1733,Netherlands,Europe,8351461.0,12.947761666666667,-2.5299177024027952,1930,1935
1734,New Zealand,Oceania,1559205.0,22.62924666666667,-0.0025298522598693474,1930,1935
1735,Norway,Europe,2903294.0,10.49023,0.937122751927344,1930,1935
1736,Peru,Americas,5942138.0,6.01859,2.4085023940203065,1930,1935
1737,Portugal,Europe,7206141.0,9.783028333333334,1.2160680957189474,1930,1935
1738,Russia,Europe,89194804.0,6.958694333333334,7.119063885619714,1930,1935
1739,South Africa,Africa,9721741.0,23.89078333333333,4.340127400699978,1930,1935
1740,Spain,Europe,24576871.0,15.308221666666668,-0.5989597299698612,1930,1935
1741,Sweden,Europe,6255485.0,12.154107576000001,1.171347358897279,1930,1935
1742,Switzerland,Europe,4128912.0,6.490988333333333,-1.0040099936325597,1930,1935
1743,United Kingdom,Europe,46949578.0,28.313640000000003,1.2833641454295774,1930,1935
1744,United States,Americas,124448298.0,8.223928,-1.972802242487437,1930,1935
1745,Venezuela,Americas,3837890.0,9.750997333333332,4.341216850451812,1930,1935
1746,Argentina,Americas,13114548.0,11.231131666666668,1.0557215764614547,1931,1936
1747,Australia,Oceania,6704321.0,9.049545,4.844497318277763,1931,1936
1748,Austria,Europe,6704950.0,19.12602,-1.8492435663279627,1931,1936
1749,Belgium,Europe,8206277.0,24.060809563576502,0.21592366249616468,1931,1936
1750,Brazil,Americas,38188072.0,13.15045,4.21906693944325,1931,1936
1751,Bulgaria,Europe,6321757.0,16.886571666666665,1.5250361294923076,1931,1936
1752,Canada,Americas,10918635.0,15.375568333333334,0.5945795966775025,1931,1936
1753,Chile,Americas,5126282.0,12.33,3.263528321160458,1931,1936
1754,Colombia,Americas,8730688.0,5.633333333333333,3.7915023526726044,1931,1936
1755,Denmark,Europe,3718868.0,11.358810666666665,0.7927624942281719,1931,1936
1756,Finland,Europe,3591534.0,17.46043,4.90535132527552,1931,1936
1757,France,Europe,40452232.0,24.292540000000002,0.04144097566112226,1931,1936
1758,Germany,Europe,70133471.0,15.028244255880814,4.037752122739624,1931,1936
1759,Greece,Europe,6963989.0,27.852098333333334,2.838351841912923,1931,1936
1760,Honduras,Americas,1152816.0,7.505701666666667,-6.234050965702631,1931,1936
1761,Hungary,Europe,8993204.0,2.693773,2.9124735065474194,1931,1936
1762,Iceland,Europe,115505.0,12.516,0.2882824985975585,1931,1936
1763,India,Asia,358092638.0,7.577704999999999,-0.3914014477228056,1931,1936
1764,Ireland,Europe,2897605.0,22.76783233333333,0.5346781628214226,1931,1936
1765,Italy,Europe,42229584.0,23.957908333333332,-0.2970437316177632,1931,1936
1766,Japan,Asia,69874936.0,3.8381405,3.716710012183433,1931,1936
1767,Mexico,Americas,18468486.0,7.222070166666666,1.5059804135713728,1931,1936
1768,Netherlands,Europe,8451313.0,13.422601666666665,0.019351250814203524,1931,1936
1769,New Zealand,Oceania,1573532.0,22.700491666666668,5.469323714528018,1931,1936
1770,Norway,Europe,2920023.0,10.331303333333333,3.9592679243308337,1931,1936
1771,Peru,Americas,6038837.0,5.87922,5.1284149031510795,1931,1936
1772,Portugal,Europe,7295617.0,9.846813333333333,-1.3595449957157335,1931,1936
1773,Russia,Europe,90018492.0,5.5435801666666675,7.6461190569222515,1931,1936
1774,South Africa,Africa,9917969.0,23.420333333333332,7.450556180752543,1931,1936
1775,Spain,Europe,24809105.0,15.996612734609707,-5.355015239341066,1931,1936
1776,Sweden,Europe,6278071.0,12.519696813333333,2.3594172966050264,1931,1936
1777,Switzerland,Europe,4146411.0,6.905838333333333,-1.5460298186480426,1931,1936
1778,Turkey,Asia,16367129.0,18.9474,,1931,1936
1779,United Kingdom,Europe,47185735.0,28.064563333333336,3.2709647184887336,1931,1936
1780,United States,Americas,125322686.0,9.323638,1.251248307870556,1931,1936
1781,Venezuela,Americas,3890776.0,10.200923000000001,6.096886507848209,1931,1936
1782,Argentina,Americas,13345878.0,10.821023333333335,3.210687219372188,1932,1937
1783,Australia,Oceania,6761463.0,8.485486666666667,4.713581097307684,1932,1937
1784,Austria,Europe,6707053.0,17.793765,1.4309298013973404,1932,1937
1785,Belgium,Europe,8233309.0,25.064041384335255,1.4935927989501385,1932,1937
1786,Brazil,Americas,38970337.0,12.426885,4.178573927864226,1932,1937
1787,Bulgaria,Europe,6385784.0,16.915661666666665,4.402007209624137,1932,1937
1788,Canada,Americas,11037560.0,15.471488333333333,4.0296272777135655,1932,1937
1789,Chile,Americas,5214192.0,11.486666666666666,11.496085159951509,1932,1937
1790,Colombia,Americas,8860633.0,5.333333333333333,2.987521682029981,1932,1937
1791,Denmark,Europe,3748249.0,11.356814666666667,1.8616556330384837,1932,1937
1792,Finland,Europe,3616657.0,17.00083,6.175231454770258,1932,1937
1793,France,Europe,40392535.0,23.701363333333333,2.5335195420881362,1932,1937
1794,Germany,Europe,70629352.0,16.242500883188047,6.862199895159726,1932,1937
1795,Greece,Europe,7059712.0,25.963021666666666,3.879940712541985,1932,1937
1796,Honduras,Americas,1175053.0,7.630974999999999,-4.99888228074723,1932,1937
1797,Hungary,Europe,9057438.0,2.705969833333333,3.0126929513957013,1932,1937
1798,Iceland,Europe,116718.0,12.383049999999999,1.939477456185057,1932,1937
1799,India,Asia,363126915.0,7.38964,-0.9377783782107629,1932,1937
1800,Ireland,Europe,2900660.0,24.16706533333333,,1932,1937
1801,Italy,Europe,42583457.0,24.755971666666667,1.1758451254139768,1932,1937
1802,Japan,Asia,70774782.0,4.014449666666667,2.9168425086091077,1932,1937
1803,Mexico,Americas,18788397.0,7.575224333333334,5.600991193507476,1932,1937
1804,Netherlands,Europe,8552359.0,13.286814999999999,1.532188484550434,1932,1937
1805,New Zealand,Oceania,1587991.0,22.23496,7.116113768857701,1932,1937
1806,Norway,Europe,2936848.0,9.820546666666667,3.8783666078694656,1932,1937
1807,Peru,Americas,6137109.0,5.928909999999999,6.242691667703593,1932,1937
1808,Portugal,Europe,7386204.0,9.901159999999999,1.352746545245398,1932,1937
1809,Russia,Europe,90849785.0,4.839144666666667,9.501985852752348,1932,1937
1810,South Africa,Africa,10118159.0,22.453128333333336,9.679730268211673,1932,1937
1811,Spain,Europe,25043533.0,16.793977720793492,-7.202230193336989,1932,1937
1812,Sweden,Europe,6300739.0,12.624437933333333,3.683649540862133,1932,1937
1813,Switzerland,Europe,4163985.0,7.14283,0.5814594735361833,1932,1937
1814,United Kingdom,Europe,47423081.0,27.223156666666668,3.8477742220565325,1932,1937
1815,United States,Americas,126203219.0,9.971755666666667,6.150973360312939,1932,1937
1816,Venezuela,Americas,3944391.0,10.860434333333332,8.07421276291469,1932,1937
1817,Argentina,Americas,13581288.0,10.487331666666668,2.3757407925617757,1933,1938
1818,Australia,Oceania,6819092.0,7.97882,3.981991484654679,1933,1938
1819,Austria,Europe,6709158.0,18.643062330077584,4.667480469842422,1933,1938
1820,Belgium,Europe,8260429.0,26.08316166666667,0.6378372109294261,1933,1938
1821,Brazil,Americas,39768626.0,10.839945,3.4456470543128948,1933,1938
1822,Bulgaria,Europe,6450459.0,16.715535,2.8385467042191914,1933,1938
1823,Canada,Americas,11157781.0,14.724366666666667,6.167713730638691,1933,1938
1824,Chile,Americas,5303610.0,12.081666666666665,6.981302062678862,1933,1938
1825,Colombia,Americas,8992512.0,4.983333333333333,3.1661689968475404,1933,1938
1826,Denmark,Europe,3777862.0,10.988678166666666,1.7206467482643761,1933,1938
1827,Finland,Europe,3641956.0,16.84607133333333,5.8423357054613545,1933,1938
1828,France,Europe,40332925.0,24.831363333333332,1.0492314619739318,1933,1938
1829,Germany,Europe,71128740.0,17.6095496228203,7.027811536871709,1933,1938
1830,Greece,Europe,7156751.0,24.957295000000002,2.2485937496370623,1933,1938
1831,Honduras,Americas,1197719.0,7.573826666666666,-2.629546842839836,1933,1938
1832,Hungary,Europe,9122132.0,2.81136,2.2630888109211877,1933,1938
1833,Iceland,Europe,117943.0,12.30925,0.03915189602989866,1933,1938
1834,India,Asia,368231967.0,7.266806666666667,-0.9311589097614648,1933,1938
1835,Ireland,Europe,2903717.0,23.6420615,1.7398730887525637,1933,1938
1836,Italy,Europe,42940295.0,25.28323333333333,1.988451381810763,1933,1938
1837,Japan,Asia,71686216.0,4.2750778333333335,2.36770736866716,1933,1938
1838,Mexico,Americas,19113850.0,7.667051999999999,3.6619288563079166,1933,1938
1839,Netherlands,Europe,8654613.0,12.969283333333331,1.1576929466894814,1933,1938
1840,New Zealand,Oceania,1602582.0,21.824421666666666,7.145588150826954,1933,1938
1841,Norway,Europe,2953771.0,9.422056666666666,3.819075752188117,1933,1938
1842,Peru,Americas,6236980.0,6.545136666666667,4.321957395965859,1933,1938
1843,Portugal,Europe,7477915.0,9.9053695,0.17324871109298812,1933,1938
1844,Russia,Europe,91688756.0,4.758366333333334,8.411680628380847,1933,1938
1845,South Africa,Africa,10322389.0,21.629135,6.572857895023465,1933,1938
1846,Spain,Europe,25280177.0,17.258417176395394,-6.508946776820523,1933,1938
1847,Sweden,Europe,6323489.0,12.670867095,3.9737629055409007,1933,1938
1848,Switzerland,Europe,4181632.0,7.504876666666667,-0.8134746389635406,1933,1938
1849,Turkey,Asia,16957374.0,18.9382,,1933,1938
1850,United Kingdom,Europe,47661620.0,26.35325333333333,3.49662317819448,1933,1938
1851,United States,Americas,127089938.0,9.970017333333333,5.514892630710744,1933,1938
1852,Venezuela,Americas,3998745.0,11.484020833333334,7.970582943498661,1933,1938
1853,Argentina,Americas,13825464.0,10.436608333333334,1.5286577585140293,1934,1939
1854,Australia,Oceania,6887821.0,8.065883333333334,2.927849180549158,1934,1939
1855,Austria,Europe,6715380.0,20.618201700832063,7.508659664605299,1934,1939
1856,Belgium,Europe,8287916.0,26.03314333333333,2.1769109733485337,1934,1939
1857,Brazil,Americas,40633684.0,9.866846666666666,2.036364383446432,1934,1939
1858,Bulgaria,Europe,6513568.0,16.306046666666667,7.329899808858253,1934,1939
1859,Canada,Americas,11296195.0,14.28842,5.255051669452504,1934,1939
1860,Chile,Americas,5396359.0,12.411666666666667,3.6456145902748593,1934,1939
1861,Colombia,Americas,9142620.0,4.683333333333333,4.543309485121894,1934,1939
1862,Denmark,Europe,3810015.0,10.470568,2.0980006904570914,1934,1939
1863,Finland,Europe,3668252.0,18.050667166666667,2.6634455885335306,1934,1939
1864,France,Europe,40314566.0,23.810600296403805,2.7158294364636903,1934,1939
1865,Germany,Europe,71499194.0,19.321291832455017,6.978423957946478,1934,1939
1866,Greece,Europe,7240587.0,23.982528333333335,1.7585378294933784,1934,1939
1867,Honduras,Americas,1221530.0,7.477548333333334,-1.6216408554166284,1934,1939
1868,Hungary,Europe,9175084.0,3.511509333333333,3.6697684520676566,1934,1939
1869,Iceland,Europe,119333.0,12.205733333333335,2.046612022749583,1934,1939
1870,India,Asia,371781679.0,7.058995,-0.6751210400267271,1934,1939
1871,Ireland,Europe,2906263.0,24.3260215,,1934,1939
1872,Italy,Europe,43279914.0,25.678021666666666,3.2718396588840015,1934,1939
1873,Japan,Asia,72625078.0,4.295115,5.045820198635309,1934,1939
