,Country,Region,Population,Average Government Expenditure as % of GDP,Annualized percentage change in GDP per capita USD,start_year,end_year
4190,Pakistan,Asia,97121552.0,26.954813333333334,3.7057753661524417,1980,1985
4191,Panama,Americas,2197070.0,44.182066666666664,1.2822108781888941,1980,1985
4192,Paraguay,Americas,3535505.0,13.904779333333332,-1.2366915607393003,1980,1985
4193,Peru,Americas,19746614.0,21.717000833333334,-3.5224339989675335,1980,1985
4194,Philippines,Asia,54812656.0,13.725128499999999,-4.272650415449341,1980,1985
4195,Poland,Europe,37179164.0,24.233750699048226,-0.27918045873214226,1980,1985
4196,Portugal,Europe,9996891.0,39.61143833333333,0.047797605193422577,1980,1985
4197,Romania,Europe,22525364.0,31.642135,0.11192072843280165,1980,1985
4198,Russia,Europe,142896384.0,21.725475847104065,0.34448300978535684,1980,1985
4199,Seychelles,Africa,67854.0,53.56178860333333,,1980,1985
4200,South Africa,Africa,33752964.0,27.524261666666664,-1.6761669712835991,1980,1985
