,Country,Region,Population,Average Government Expenditure as % of GDP,Percentage change in GDP per capita USD,start_year,end_year
6193,Albania,Europe,3062629.0,36.366401368333335,44.85128696306502,1999,2004
6194,Algeria,Africa,32510184.0,34.45787252,42.992791895947555,1999,2004
6195,Angola,Africa,18771128.0,45.205878134,,1999,2004
6196,Argentina,Americas,38668796.0,38.74413333333333,-2.706890846320631,1999,2004
6197,Armenia,Asia,3065748.0,1.1566428415,44.57988062920546,1999,2004
6198,Australia,Oceania,19925060.0,36.65177735666666,15.01140332963724,1999,2004
6199,Austria,Europe,8171215.0,55.39768833333333,9.964253767455089,1999,2004
6200,Azerbaijan,Asia,8556168.0,24.5869711,,1999,2004
6201,Bahrain,Asia,833454.0,32.866989935,53.23619517552623,1999,2004
6202,Bangladesh,Asia,138789728.0,15.266634285,28.283693492617367,1999,2004
6203,Belarus,Europe,9999713.0,35.41382093166666,33.67168743087372,1999,2004
6204,Belgium,Europe,10456164.0,55.71151833333334,9.728317924341257,1999,2004
6205,Benin,Africa,7894558.0,22.26286777333333,2.233202145021096,1999,2004
6206,Bolivia,Americas,9216282.0,33.911748333333335,4.439558683002387,1999,2004
6207,Bosnia and Herzegovina,Europe,4142858.0,52.83589069999999,11.833313336103046,1999,2004
6208,Botswana,Africa,1859087.0,38.461318705,18.452827652717694,1999,2004
6209,Brazil,Americas,184722048.0,45.45583833333333,15.970551673687083,1999,2004
6210,Bulgaria,Europe,7865314.0,42.93166166666666,37.01220624444173,1999,2004
6211,Burkina Faso,Africa,13445981.0,22.974823125,-3.7940663205380254,1999,2004
6212,Burundi,Africa,7120502.0,25.09154673666667,-8.10288829512018,1999,2004
6213,Cabo Verde,Africa,486591.0,38.50129409,,1999,2004
6214,Cambodia,Asia,13016377.0,15.251666210000002,23.935557351029857,1999,2004
6215,Cameroon,Africa,16809406.0,18.86424528,,1999,2004
6216,Canada,Americas,31911670.0,47.37591166666667,11.729416314386887,1999,2004
6217,Central African Republic,Africa,4115146.0,16.824033908333334,-11.847084321096645,1999,2004
6218,Chad,Africa,9613509.0,19.711814053333335,63.573626336186706,1999,2004
6219,Chile,Americas,16017966.0,24.793802,10.996288801783717,1999,2004
6220,China,Asia,1296816768.0,18.539531999999998,35.83947859200913,1999,2004
6221,Colombia,Americas,41648272.0,29.577421666666666,9.891734091771331,1999,2004
6222,Comoros,Africa,581161.0,21.491201741666668,4.878526225666846,1999,2004
6223,Congo Republic,Africa,3543018.0,32.830080105,16.1710875282578,1999,2004
6224,Costa Rica,Americas,4252803.0,21.025955,9.831203980925075,1999,2004
6225,Cote d'Ivoire,Africa,18544900.0,22.219677155,-5.653439615794698,1999,2004
6226,Croatia,Europe,4443351.0,45.54647691,,1999,2004
6227,Cyprus,Asia,1018688.0,43.719689445,19.896961937626266,1999,2004
6228,Czech Republic,Europe,10261003.0,45.44049505500001,28.471851337164388,1999,2004
6229,Czech Republic,Europe,10261003.0,45.44049505500001,-0.22678063463310583,1999,2004
6230,DR Congo,Africa,54815608.0,14.007462499166666,2.653193022909095,1999,2004
6231,Denmark,Europe,5415583.0,57.89680166666667,9.740944230412229,1999,2004
6232,Djibouti,Africa,818380.0,34.014879953333335,8.630656659351498,1999,2004
6233,Dominican Republic,Americas,9043135.0,15.785496166666666,15.914352345840065,1999,2004
6234,Egypt,Africa,77522424.0,40.88921160333333,,1999,2004
6235,Equatorial Guinea,Africa,826368.0,20.269808071666667,185.88110402488937,1999,2004
6236,Estonia,Europe,1362489.0,35.19235897666667,35.66099901754838,1999,2004
6237,Eswatini,Africa,1065776.0,31.444619446666668,15.16761178020114,1999,2004
6238,Ethiopia,Africa,75301024.0,26.537647178333334,1.2550070989327367,1999,2004
6239,Finland,Europe,5228143.0,51.804705000000006,15.818703194115425,1999,2004
6240,France,Europe,60108436.0,55.486268333333335,8.701399561543433,1999,2004
6241,Gabon,Africa,1417115.0,30.391473688333335,12.907638834758162,1999,2004
6242,Gambia,Africa,1612237.0,21.26910607,,1999,2004
6243,Georgia,Asia,3988861.0,19.431710312,,1999,2004
6244,Germany,Europe,81266672.0,50.45452666666667,10.724113274397173,1999,2004
6245,Ghana,Africa,21906448.0,23.438419999999997,12.714431782750557,1999,2004
6246,Greece,Europe,11115089.0,51.86560166666666,28.41037649927958,1999,2004
6247,Guinea,Africa,8961046.0,19.885751843333335,12.453429018484519,1999,2004
6248,Guinea-Bissau,Africa,1347012.0,25.71879243,,1999,2004
6249,Haiti,Americas,8961495.0,11.465320499999999,-4.898079852680026,1999,2004
6250,Honduras,Americas,7383408.0,27.96706,14.664223966224288,1999,2004
6251,Hong Kong,Asia,6915997.0,18.531233333333333,15.79880443882773,1999,2004
6252,Hungary,Europe,10094499.0,53.976085000000005,38.015644419733704,1999,2004
6253,Iceland,Europe,292364.0,48.272915000000005,12.496717611979902,1999,2004
6254,India,Asia,1136264576.0,32.99476,18.641751774828364,1999,2004
